track_uri,track_name,lyrics,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:42VsgItocQwOQC3XWZ8JNA,FE!N (feat. Playboi Carti),https://www.musixmatch.com/lyrics/Travis-Scott-Playboi-Carti/fe-n-playboi-carti,92,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,94,"['hip hop', 'rap', 'slap house']",UTOPIA,0.569,0.882,3,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,191701,4
spotify:track:4E63weMCaNZuGPEFMnuEi8,exes,https://www.musixmatch.com/lyrics/Tate-McRae/exes-1,88,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,85,['pop'],THINK LATER,0.821,0.575,5,-6.57,0,0.0589,0.173,0.000242,0.114,0.611,136.962,159401,4
spotify:track:6XjDF6nds4DE2BBbagZol6,Gata Only,https://www.musixmatch.com/lyrics/FloyyMenor-Cris-Mj/Gata-Only,94,spotify:artist:7CvTknweLr9feJtRGrpDBy,FloyyMenor,77,['reggaeton chileno'],Gata Only,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,222000,4
spotify:track:0WIv5qV41y6YjjB9V1biuC,Made For Me,https://www.musixmatch.com/lyrics/Muni-Long/Made-For-Me,87,spotify:artist:7tjVFCxJdwT4NdrTmjyjQ6,Muni Long,73,"['indie r&b', 'pop r&b']",Made For Me,0.785,0.47,7,-6.42,0,0.0329,0.137,1.12e-06,0.131,0.0569,120.006,188000,4
spotify:track:0LMwmV37RCmBO2so0szAFs,Whatever,https://www.musixmatch.com/lyrics/Kygo-Ava-Max/Whatever,89,spotify:artist:23fqKkggKUBHNkbKtXEls4,Kygo,80,"['edm', 'pop', 'pop dance', 'tropical house']",Whatever,0.576,0.776,3,-5.678,1,0.066,0.114,0,0.333,0.596,107.943,178273,4
spotify:track:5mjYQaktjmjcMKcUIcqz4s,Strangers,https://www.musixmatch.com/lyrics/Kenya-Grace/Strangers,90,spotify:artist:7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,74,['singer-songwriter pop'],Strangers,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,172965,4
spotify:track:34Yl756FwYuZldE9xnshj5,if u think i'm pretty,https://www.musixmatch.com/lyrics/Artemas/if-u-think-i-m-pretty,80,spotify:artist:0PCCGZ0wGLizHt2KZ7hhA2,Artemas,79,[],if u think i'm pretty,0.542,0.578,10,-6.094,0,0.0501,0.533,0.00756,0.556,0.399,143.646,113604,4
spotify:track:7dJYggqjKo71KI9sLzqCs8,Agora Hills,https://www.musixmatch.com/lyrics/Doja-Cat/Track-9,86,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,87,"['dance pop', 'pop']",Scarlet,0.75,0.674,8,-6.128,0,0.097,0.228,8.91e-05,0.122,0.392,123.026,265360,4
spotify:track:1kuGVB7EU95pJObxwvfwKS,vampire,https://www.musixmatch.com/lyrics/Olivia-Rodrigo/vampire,91,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,90,['pop'],GUTS,0.511,0.532,5,-5.745,1,0.0578,0.177,0,0.291,0.35,138.005,219724,4
spotify:track:4o120XeV8els1S5bu7mzBX,Eyes Closed,https://www.musixmatch.com/lyrics/Imagine-Dragons/Eyes-Closed,69,spotify:artist:53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,87,"['modern rock', 'pop', 'rock']",Eyes Closed,0.622,0.684,10,-7.199,0,0.114,0.0323,0.0014,0.0732,0.512,173.913,200010,4
spotify:track:1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),https://www.musixmatch.com/lyrics/Drake-Sexyy-Red-SZA-1/rich-baby-daddy-sexyy-red-sza,89,spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",For All The Dogs,0.645,0.729,2,-4.56,1,0.0528,0.0377,0,0.384,0.142,146.01,319192,4
spotify:track:28drn6tQo95MRvO0jQEo5C,Type Shit,https://www.musixmatch.com/lyrics/Future-Metro-Boomin/Type-Shit,89,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,Future,93,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",WE DON'T TRUST YOU,0.64,0.552,2,-5.679,1,0.129,0.0215,0,0.119,0.112,144.941,228267,4
spotify:track:48vIfHaK7by6x0T6ucpODL,Make You Mine,https://www.musixmatch.com/lyrics/Madison-Beer/Make-You-Mine,86,spotify:artist:2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,76,['pop'],Make You Mine,0.514,0.658,6,-6.454,0,0.0414,0.216,0.00586,0.206,0.466,123.171,220552,4
spotify:track:4UkUxO2WlKLc0Q1iEutGGh,CONTIGO (with Tiësto),https://www.musixmatch.com/lyrics/KAROL-G-Ti%C3%ABsto/CONTIGO-with-Ti%C3%Absto,88,spotify:artist:790FomKkXshlbRYZFtlgla,KAROL G,90,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",CONTIGO (with Tiësto),0.846,0.545,5,-7.826,1,0.0736,0.178,6.23e-06,0.0989,0.268,122.029,192787,4
spotify:track:2KslE17cAJNHTsI2MI0jb2,Standing Next to You,https://www.musixmatch.com/lyrics/Jung-Kook-1/Track-4,91,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,Jung Kook,86,['k-pop'],GOLDEN,0.711,0.809,2,-4.389,0,0.0955,0.0447,0,0.339,0.816,106.017,206020,4
spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",https://www.musixmatch.com/lyrics/Billie-Eilish/What-Was-I-Made-For-From-The-Motion-Picture-Barbie,91,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,88,"['art pop', 'pop']","What Was I Made For? [From The Motion Picture ""Barbie""]",0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4
